date,datatype,station,attributes,value
2024-01-02T00:00:00,SNOW,GHCND:US1NJMN0011,",,N,0735",0.0
2024-01-02T00:00:00,PRCP,GHCND:US1NJMN0012,",,N,0900",0.0
2024-01-02T00:00:00,SNOW,GHCND:US1NJMN0012,",,N,0900",0.0
2024-01-02T00:00:00,PRCP,GHCND:US1NJMN0048,",,N,0630",0.0
2024-01-02T00:00:00,SNOW,GHCND:US1NJMN0048,",,N,0630",0.0
2024-01-02T00:00:00,SNWD,GHCND:US1NJMN0048,",,N,0630",0.0
2024-01-02T00:00:00,PRCP,GHCND:US1NJMN0104,",,N,0900",0.0
2024-01-02T00:00:00,SNOW,GHCND:US1NJMN0104,",,N,0900",0.0
2024-01-02T00:00:00,PRCP,GHCND:US1NJMS0011,",,N,0700",0.0
2024-01-02T00:00:00,SNOW,GHCND:US1NJMS0011,",,N,0700",0.0
2024-01-02T00:00:00,PRCP,GHCND:US1NJMS0040,",,N,1000",0.0
2024-01-02T00:00:00,SNOW,GHCND:US1NJMS0040,",,N,1000",0.0
2024-01-02T00:00:00,DAPR,GHCND:US1NJMS0047,",,N,0900",11.0
2024-01-02T00:00:00,MDPR,GHCND:US1NJMS0047,",,N,0900",77.7
2024-01-02T00:00:00,PRCP,GHCND:US1NJMS0059,",,N,0700",0.0
2024-01-02T00:00:00,SNOW,GHCND:US1NJMS0059,",,N,0700",0.0
2024-01-02T00:00:00,SNWD,GHCND:US1NJMS0059,",,N,0700",0.0
2024-01-02T00:00:00,WESD,GHCND:US1NJMS0059,",,N,0700",0.0
2024-01-02T00:00:00,WESF,GHCND:US1NJMS0059,",,N,0700",0.0
2024-01-02T00:00:00,PRCP,GHCND:US1NJMS0102,",,N,0700",0.0
2024-01-02T00:00:00,SNOW,GHCND:US1NJMS0102,",,N,0700",0.0
2024-01-02T00:00:00,PRCP,GHCND:US1NJMS0106,",,N,0830",0.0
2024-01-02T00:00:00,SNOW,GHCND:US1NJMS0106,",,N,0830",0.0
2024-01-02T00:00:00,PRCP,GHCND:US1NJMS0108,",,N,0830",0.0
2024-01-02T00:00:00,SNOW,GHCND:US1NJMS0108,",,N,0830",0.0
2024-01-02T00:00:00,SNWD,GHCND:US1NJMS0108,",,N,0830",0.0
2024-01-02T00:00:00,WESD,GHCND:US1NJMS0108,",,N,0830",0.0
